potencia_x,potencia_y,potencia_z,potencia_total_xyz
7.43859569632797e-06,5.67704320467919e-06,8.56268975174168e-06,2.16783286527488e-05
1.12067464942754e-05,8.30030433327294e-06,1.22536889724847e-05,3.17607398000331e-05
1.17633454954704e-05,5.23511682933485e-06,1.00480975394727e-05,2.7046559864278e-05
1.03747056655639e-05,3.1933516554644e-06,7.3732632391839e-06,2.09413205602122e-05
1.60026422336096e-05,1.52064308241202e-05,1.22983106475895e-05,4.35073837053192e-05
6.28074504380098e-06,3.50655842708535e-06,8.00407573419915e-06,1.77913792050855e-05
1.02086775333787e-05,6.18403584681029e-06,1.00991790538567e-05,2.64918924340457e-05
1.45906091127611e-05,4.59508120336658e-06,8.901886934362e-06,2.80875772504897e-05
1.09149591256534e-05,3.72185861155536e-06,8.06439929268337e-06,2.27012170298921e-05
1.04123699627988e-05,3.38036305231123e-06,7.89158921184624e-06,2.16843222269563e-05
8.39114906949585e-06,3.51469373218115e-06,8.01609270584664e-06,1.99219355075236e-05
1.20856661244248e-05,3.93306590872732e-06,8.72272513465923e-06,2.47414571678114e-05
1.11569597557757e-05,3.8070227677323e-06,8.49830029885368e-06,2.34622828223617e-05
1.2121386245201e-05,4.02509428359184e-06,8.19234745925681e-06,2.43388279880497e-05
1.16393204101423e-05,5.24259622601903e-06,9.53052493539602e-06,2.64124415715574e-05
3.96850540165651e-06,3.42158664068732e-06,7.95246738335983e-06,1.53425594257037e-05
3.82090757152804e-06,3.14508169193901e-06,8.02112945047817e-06,1.49871187139452e-05
9.85222689800739e-06,5.11794481571956e-06,1.08685008674776e-05,2.58386725812046e-05
3.1076405473377e-05,6.63674630208179e-05,4.49860746813998e-05,0.000142429943175595
1.49350618839122e-05,1.19399614820707e-05,1.63691454341028e-05,4.32441688000857e-05
1.9019918987491e-05,7.97178653760459e-06,1.11927288068319e-05,3.81844343319275e-05
4.15821588153522e-06,4.47163485107311e-06,9.29764645317545e-06,1.79274971857838e-05
3.72532684999547e-06,3.19183454609103e-06,8.19565492557306e-06,1.51128163216596e-05
3.80158179441376e-06,3.12437631330889e-06,7.85696637685291e-06,1.47829244845756e-05
3.79512447249284e-06,3.07052688534044e-06,8.03587884602252e-06,1.49015302038558e-05
8.41763145614923e-06,7.06060573290038e-06,1.12410273260718e-05,2.67192645151215e-05
4.33028290070657e-06,3.39207557632577e-06,8.71728674330158e-06,1.64396452203339e-05
4.11968054300299e-06,3.08486868720748e-06,7.64926744015798e-06,1.48538166703685e-05
5.65328880426423e-06,3.68451737053444e-06,9.0209299002512e-06,1.83587360750499e-05
1.00502999923183e-05,4.38910519770769e-06,9.90003795891991e-06,2.43394431489459e-05
1.38709031380758e-05,1.00717406406075e-05,1.36381886266233e-05,3.75808324053066e-05
1.36805876692093e-05,1.25217116478543e-05,1.77929698281926e-05,4.39952691452562e-05
7.59356942185292e-06,5.30639083999963e-06,1.04484293440916e-05,2.33483896059441e-05
1.01105718739543e-05,6.40724709303905e-06,1.05510239705462e-05,2.70688429375396e-05
1.45792924174994e-05,4.38993818903561e-06,9.50669666208114e-06,2.84759272686161e-05
1.15835299247277e-05,4.579810158156e-06,9.29266793222282e-06,2.54560080151066e-05
9.19888497767162e-06,3.28960442950641e-06,7.88936274224078e-06,2.03778521494188e-05
1.77174645560758e-05,5.96647043050085e-06,1.03632164390476e-05,3.40471514256242e-05
1.03569997963322e-05,4.64315588555177e-06,9.85550919445547e-06,2.48556648763395e-05
1.04717684738095e-05,4.01013646867634e-06,8.62899700496707e-06,2.31109019474529e-05
1.23047501333727e-05,3.97928478754921e-06,8.12228340565883e-06,2.44063183265807e-05
1.35407953907857e-05,4.08390282612655e-06,8.73094916733467e-06,2.63556473842469e-05
1.46502448905162e-05,5.59274389324694e-06,1.02368884152109e-05,3.04798771989741e-05
1.47032547412395e-05,1.48206932628569e-05,1.42135372271437e-05,4.37374852312401e-05
1.27360243051889e-05,1.42100282741285e-05,1.43374888697901e-05,4.12835414491075e-05
